[00:00] 天叉子咱就及时告他
[00:02] 然后就剩下的就是
[00:04] 今天沟通的原则就是咱快速过一下就是
[00:06] 我们需要我们解决的
[00:08] 我们就解决就没有必要一个是一亿了
[00:10] 咱把这个比如说清洗方案
[00:12] 没有必要给他过给他
[00:14] 咱都弄完了自己在讨论一下没问题了
[00:16] 给他转一个完整的
[00:18] 咱这个咱就换一下它
[00:20] 我不要和别的颜色
[00:21] 再一个
[00:23] 蓝的吧上次是黄的
[00:27] 清洗方案
[00:29] 清洗方案
[00:32] 清洗方案没有
[00:35] 跟力器有点装
[00:38] 跟力器对是解决完的
[00:41] 是吧
[00:42] 对这个整完了
[00:44] 整完了它毁的邮件
[00:47] 那个超级你看了没
[00:48] 我的那个谁高语
[00:50] 我让高语那个
[00:51] 他不是说想温度降下来然后压力不想降吗
[00:55] 想降温度我不知道这个事情
[00:57] 但是他涉及温度跟涉及压力不降
[01:01] 那感觉对那个反了等级没有那个影响
[01:04] 他不是看涉及温度跟涉及压力的吗
[01:08] 可以
[01:09] 是他回的有点是好像是想改的是
[01:14] 偷做的是吧
[01:16] 不是改设计吧
[01:17] 改设计吧不是300变成250吗
[01:21] 然后回头把那个
[01:24] 设计压力还调回8吗
[01:29] 最后才能满足这个
[01:34] 咱们那个class 900的适用条件吗
[01:38] 温度降了
[01:40] 温度降不了那个
[01:42] 对吧我记得咱们之前那会儿
[01:44] 高层队说你不是200多了
[01:46] 290的吧
[01:48] 对290多
[01:49] 对280多
[01:51] 他的意思是那样
[01:54] 他的意思是安静法起票压力
[01:56] 赶到7.5
[01:59] 然后赶到7.5以后他那个
[02:01] 泄放时候
[02:01] 泄放温度不就降了吧
[02:03] 而且泄放温度降不到250
[02:07] 他只降到267的样子
[02:10] 如果降不到的话
[02:13] 有咱们设计温度应该是
[02:15] 降不到250
[02:18] 那可能还多麻烦
[02:20] 对那个class 900
[02:22] 这些包括咱们之前那里面
[02:24] 结构那个他不是有四伏那个电框吗
[02:27] 那都不行
[02:30] 那还是
[02:31] 那要不就按照之前的方案说
[02:33] 就是
[02:34] 泄放工坊不当那个
[02:41] 当时那个他要调的话
[02:44] 不是因为那个
[02:45] 泄放的时候
[02:46] 所以要调那个设定温度吗
[02:49] 然后真不好整的话
[02:50] 要么就跟他说
[02:52] 泄放调进下那个管道的
[02:54] 那个强度什么是不是够的
[02:56] 但要不要就不调水温度给压力了
[03:00] 但是我感觉他不见情能同意
[03:02] 这个事情
[03:03] 嗯
[03:04] 那咋整呢
[03:07] 可以是个矛盾的事
[03:08] 这个那个有没有业界的这种的
[03:12] 呃就是这种的就是潜力
[03:15] 说咱就是实际上在那个设计温度
[03:17] 跟那个泄放温度不相关
[03:20] 这种有没有就是业界的其他的设计的
[03:24] 就比如说
[03:25] 业内肯定也有类似的
[03:27] 我觉得他可能业内也有类似的
[03:29] 这种的情况
[03:30] 然后他们的
[03:31] 就是设计温度是一个温度
[03:33] 然后泄放的时候即使打荡了
[03:35] 应该这个也不太需要
[03:36] 考虑管的问题
[03:38] 可能我猜啊
[03:39] 有没有这种潜力
[03:43] 正常的
[03:45] 就是他国外的我不太知道
[03:46] 这是咱国内的
[03:48] 国内的他这种泄放的
[03:50] 异常功况的时候
[03:51] 实际上是不考虑到
[03:52] 正常的这个工作跟设计
[03:56] 温度啊
[03:56] 这个设计条件下
[03:58] 这个情况没
[04:00] 是不考虑的
[04:01] 但是
[04:02] 他说他们国外这个东西想去考虑吧
[04:05] 那肯定是更好
[04:07] 咱只能说更好
[04:09] 都能说严格禁止
[04:13] 峰国是现在在吗
[04:15] 峰国是
[04:17] 峰国是不在
[04:19] 哎
[04:27] 哎 陈寗 核心点是什么
[04:29] 他
[04:32] 他就是那个
[04:34] 咱温度跟
[04:36] 他就是想那个
[04:37] 是压力不调到旗而舞
[04:39] 上次不是因为那个
[04:40] 所以温度跟压力都比较高吗
[04:42] 对对对
[04:43] 然后就说
[04:44] 当时不是说陈寗期待舞
[04:45] 然后他回忆又见那一次
[04:46] 不太接受是吧
[04:48] 他是想把那个
[04:50] 设计温度调到250
[04:51] 然后是压力想不动
[04:55] 没事吧
[04:56] 没事吧 温度
[05:00] 温度
[05:01] 你温度不是你设的呀
[05:04] 压力你是安全法是可以设定的
[05:08] 是吧
[05:09] 他就是把安全法
[05:10] 企业压力不是改了吗
[05:12] 改了完了之后
[05:13] 那个西方温度就会往下降一点吗
[05:15] 因为他调压力了
[05:17] 哦
[05:18] 就是设备的
[05:20] 设计的
[05:20] 压力
[05:22] 但是安全法
[05:23] 然后安全法
[05:24] 起到压力期待舞
[05:25] 对吧
[05:26] 把安全法起到压力
[05:28] 这样他对应那个温度
[05:30] 不就是降下来了吗
[05:31] 是吧
[05:32] 但是我看了也那个数据
[05:34] 就是安全法降到7.5
[05:35] 那个西方温度降到250
[05:37] 温度降到250
[05:38] 温度267
[05:39] 多少呢
[05:40] 多少能降到250呢
[05:42] 250的话
[05:43] 那压力很
[05:44] 看的是好像是
[05:46] 三四照
[05:47] 四点多招牌应该是
[05:49] 不太多
[05:49] 那个就差太多了
[05:51] 对
[05:51] 差很多
[05:52] 把这个数反馈一下吧
[05:54] 就今天先反馈一下
[05:55] 然后那就讨论一下
[05:57] 就是你不是有那个
[05:59] 你查一下那个数是多少
[06:01] 行
[06:02] 失败
[06:02] 然后就是他没有到吗
[06:04] 然后再来看
[06:07] 那这个那个数
[06:09] 那个糊弓能提前
[06:11] 把这个材料展示一下
[06:13] 就那个那个准备一下
[06:16] 然后到时候会上
[06:17] 说到这块儿
[06:18] 现在展示一下
[06:19] 对不对
[06:20] 现在就说让他找一下那个
[06:23] 你那个有吧
[06:24] 有
[06:25] 现在那个安全
[06:26] 不同温度
[06:27] 安全法计算那个
[06:27] 不是不同温度对应那个值吗
[06:29] 可以安全法
[06:30] 这段数里头就有
[06:31] 我上去看了
[06:32] 可以找
[06:33] 可以的
[06:35] 我们再往下过吧
[06:40] 请写方案
[06:41] 这个是啥的
[06:42] 反应进展
[06:44] 人家反映下方的宽度
[06:46] 选择模型后
[06:47] 这个模型那个团圈看完了吗
[06:51] 就这个
[06:52] 模型看完了
[06:53] 通道这个通道这个能
[06:58] 整体模型有建设
[07:00] 现在区域
[07:02] 包括通道进控
[07:06] 这个不需要
[07:07] 最后再提供
[07:09] 目前结构
[07:10] 现在反映这个方案
[07:11] 反映
[07:13] 这个应该都有
[07:14] 好
[07:14] 做好进一方案
[07:16] 跟那些
[07:17] 不分光合
[07:18] 为不不分
[07:19] 不分
[07:20] 不分
[07:21] 不止
[07:24] 因为优化
[07:25] 跟这个方案反映下方
[07:27] 就准备
[07:29] 它的专面
[07:30] 这个模型是看完了
[07:42] 还
[07:43] 咱还没来及那个反馈沟通的
[07:45] 是吧
[07:46] 对
[08:00] 或者说明
[08:02] 现在就差操作手册了是吧
[08:04] 对
[08:04] 现在就差操作手册了
[08:05] 点锁完整
[08:08] 点锁
[08:10] 再小点点
[08:11] 上轴手册
[08:13] 这个还在小选
[08:15] 这个是不是已经沟通过了
[08:23] 对上轴
[08:24] 那个蓝色就是上轴沟通的
[08:26] 连锁到这
[08:28] 对
[08:52] 你应该排定那个管扣增大了对吧
[08:57] 增大了
[09:01] 连锁
[09:02] 增大了
[09:45] 好多了一大功能原理
[09:54] 接着变成去
[10:01] 就一维宜季所在的那个都不是常见的
[10:05] 生命期的
[10:09] 一维季所在的那个都不是常见的
[10:16] 这个是不是上次说了要沟通一下
[11:15] 自己说的就你这个可能
[11:22] 自己可能不是生命期
[11:25] 他选有影响吗
[11:33] 不要沟通的好像是在下面一个
[11:36] 徐华基的
[11:37] 跟他是一样的
[11:38] 是吧
[11:39] 也提到徐华基了
[11:41] 这个人沟通过了
[11:43] 是吧
[11:43] 他能模型可以推荐的这个权量
[11:50] 一个五
[11:51] 是沟通过了
[11:56] 但是有没沟通彻底的
[11:57] 这个是
[11:58] 这个太几层了
[12:01] 对
[12:02] 这个实际上
[12:06] 是那个
[12:08] 还没有更进一步的那个进展是吧
[12:12] 是
[12:13] 咱们就是吸引人生气候
[12:16] 说咱要咱提供的文件
[12:17] 不还没有提供给人家的
[12:19] 哦
[12:19] 等他提供的时候
[12:20] 他幸福
[12:21] 我记得发了一个
[12:22] 不是针对咱们
[12:23] 那个就是这种项目的
[12:26] 咱咱把这个模型
[12:28] 咱都碰完了以后
[12:29] 然后文件那个啥了
[12:31] 咱再把那清单再过一下
[12:34] 就是来看看需要给他那些清单
[12:36] 是吧
[12:38] 他需要咱们提供的那个吧
[12:39] 对
[12:40] 我记得他提过了一个
[12:41] 不是咱们这种项目的
[12:44] 我记得
[12:44] 我不知道你还有没有
[12:45] 他给提供过来的那个
[12:47] 不是类似于文件吗
[12:50] 哦
[12:50] 因为咱们这个是可以标的
[12:54] 对
[12:56] 他只是在其他项目上
[12:59] 对
[12:59] 他就不是在这种法工
[13:01] 我记得不是这种
[13:03] 这种项目
[13:06] 他这个说一下吧
[13:07] 就是还后边需要再沟通
[13:10] 才能那个上的
[13:12] 还需要沟通
[13:13] 咱们做完了
[13:15] 再沟通
[13:16] 后边再沟通
[13:18] 后面再沟通也行
[13:20] 因为现在来讲
[13:22] 这个事情应该不是很着急
[13:24] 因为它是先造的那一份事情
[13:27] 咱们所有的文件都通好了之后
[13:30] 和吸引认证要统一交流的事情
[13:32] 到时候一起弄
[13:34] 对
[13:37] 这些最后咱都给关了
[13:40] 统一标一个颜色
[13:41] 对
[13:43] 不都
[13:43] 咱们7月1号
[13:44] 7月2号这些
[13:45] 咱统一得给K-Z最后过一遍
[13:48] 就是他
[13:49] 最后咱咱们认为都没问题了
[13:51] 再统一给人家过一遍
[13:53] 目前咱执行不下去的
[13:55] 就尽快沟通一下对吧
[13:57] 行
[13:59] 这个中间的搞文
[14:02] 这个已经过了
[14:03] 沟通过了这个
[14:07] 20几块给人家施政
[14:14] 这个时候也沟通过了
[14:15] 再定了那个
[14:40] 这个孟宏在嘛
[14:41] 这个得留着
[14:42] 这个人家有一个反馈
[14:50] 孟宏在了嘛
[14:51] 没有
[14:51] 好
[14:51] 六个人没有
[15:35] 图群那边有
[15:39] 特区当天是不需要我们这边了
[15:42] 是吧
[15:44] 上次是看不说
[15:46] 上次是看不出他们来考虑
[15:50] 对 上次看不出他们来考虑
[15:52] 那是不是应该记录一下
[16:08] 有 这个
[16:09] 宣誓过了
[16:10] 我看下边
[16:11] 有看这个
[16:12] 这个写了
[16:13] 哦 这个是上次没讨论到
[16:34] 哦 对
[16:35] 对吧
[16:36] 哎呀对
[16:39] 哎呀
[16:40] 我分开了这个
[16:55] 后边应该都是
[16:58] 好 这就行
[16:58] 我们下个节奏吧
[17:01] 好
[17:02] 这就行
[17:03] 好 这就行
[17:08] 更洗清洗方案后讨论
[17:47] 你领给清洗方案是不是有个出版了
[17:49] 陶晶
[17:50] 等 我看啊
[17:51] 这是清洗验证侧列
[17:53] 常常提供
[17:56] 就是你现在是一个出版的 是吧
[18:00] 那可能最后再给他讨论
[18:03] 行
[18:04] 你觉得呢
[18:06] 最后先给谎博上
[18:08] 我们内部讨论一下 是吧
[18:11] 这个清洗方案还没发给他 是吧
[18:14] 哎 没有
[18:15] 我们内部还没 还没碰完
[18:18] 行
[18:19] 还是一个出版的 对
[18:21] 最后这件事肯定多了
[18:22] 弄出来 多少天
[18:24] 这是贵
[18:25] 你那个还没给谎博是过的 是吧
[18:29] 陶晶
[18:29] 因为谎博发了一个初步那个 特别
[18:33] 谎博是那个就是比较
[18:37] 比较简单的
[18:38] 比较简单的
[18:40] 谎博是沟通的话
[18:43] 可能就是那个
[18:45] 最后那个要取要 要检测的话
[18:47] 估计得他们那边出
[18:49] 检测方法
[18:51] 然后清洁的程度 要什么东西
[18:53] 还是要求
[18:54] 对
[18:54] 对
[18:55] 那个方面他们出
[18:57] 对
[18:57] 所以这块我们内部再碰一下
[18:59] 然后这个三地油
[19:12] 应该是看三地的
[19:29] 所以相当于咱还没采购呢
[19:31] 场家没有反回资料的 是吧
[19:34] 现在先沟通吗
[19:36] 场家反了一个之前的
[19:40] 那是好老之前
[19:42] 就是交接的时候有一版
[19:45] 然后中间那个布的流量不是改了吗
[19:48] 改了之后
[19:50] 然后就应该还没有那个
[19:52] 还没有采购
